section,name,alias,type,default,units,dependencies
demand,demand.ProjectedCommercialFacilityDemandPerYear,p_dem_co,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.CommercialFacilityUnitDemandPerCommercialFacilityPerYear;demand.ProjectedCommercialFacilityCount;demand.SocialInfrastructureDemandCurve;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
demand,demand.ProjectedPublicLightingFacilityDemandPerYear,p_dem_li,CURVE_INTERPOLATE,,kilowatt-hours per year,demand.ProjectedPublicLightingFacilityCount;demand.PublicLightingFacilityUnitDemandPerPublicLightingFacilityPerYear;demand.SocialInfrastructureDemandCurve;demographics.ProjectedPopulationCount;finance.ElectricityDemandMultiplier
demand,demand.ProjectedNodalDemandPerYear,p_dem,SINGLE_STMT_OTHER,,kilowatt-hours per year,demand.ProjectedCommercialFacilityDemandPerYear;demand.ProjectedEducationFacilityDemandPerYear;demand.ProjectedHealthFacilityDemandPerYear;demand.ProjectedHouseholdDemandPerYear;demand.ProjectedProductiveDemandPerYear;demand.ProjectedPublicLightingFacilityDemandPerYear
demand,demand.ProjectedNodalDiscountedDemand,p_dem_d,SINGLE_STMT_SIMPLE,,kilowatt-hours,demand.ProjectedNodalDemandPerYear;finance.DiscountedCashFlowFactor
demand,demand.RuralPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,pkdemf_r,LEAF_VAR,0.4,,
demand,demand.UrbanPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,pkdemf_u,LEAF_VAR,0.4,,
demand,demand.PeakElectricalHoursOfOperationPerYear,pkel_hr,LEAF_VAR,1460,hours per year,
demand,demand.PeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours,pkdemf,SINGLE_STMT_OTHER,,,demand.RuralPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours;demand.UrbanPeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours;demographics.IsRural
demand,demand.DemandToPeakDemandConversionFactor,dem_pkdemf,SINGLE_STMT_OTHER,,,demand.PeakDemandAsFractionOfNodalDemandOccurringDuringPeakHours;demand.PeakElectricalHoursOfOperationPerYear
demand,demand.ProjectedPeakProductiveDemand,p_pkdem_pr,SINGLE_STMT_SIMPLE,,kilowatts,demand.DemandToPeakDemandConversionFactor;demand.ProjectedProductiveDemandPerYear
