section,name,type,default,units,dependencies
,Metric,OTHER,,meters,costGrid.GridExternalSystemNodalDiscountedCostPerMeter;costGrid.GridInternalSystemNodalDiscountedCost;costGrid.GridInternalSystemNodalLevelizedCost;costMiniGrid.MiniGridSystemNodalDiscountedCost;costMiniGrid.MiniGridSystemNodalLevelizedCost;costOffGrid.OffGridSystemNodalDiscountedCost;costOffGrid.OffGridSystemNodalLevelizedCost
,System,OTHER,,,costMiniGrid.MiniGridSystemNodalDiscountedCost;costOffGrid.OffGridSystemNodalDiscountedCost;demand.ProjectedNodalDemandPerYear
,OffGridSystemTotal,AGGREGATE,0,count,
,OffGridSystemTotalDiscountedDemand,AGGREGATE,0,kilowatt-hours,
,OffGridSystemTotalDiscountedDieselCost,AGGREGATE,0,dollars,
,OffGridSystemTotalDiscountedDieselFuelCost,AGGREGATE,0,dollars,
,OffGridSystemTotalDiscountedCost,AGGREGATE,0,dollars,
,OffGridSystemTotalLevelizedCost,OTHER,,dollars per kilowatt-hour,OffGridSystemTotalDiscountedCost;OffGridSystemTotalDiscountedDemand
,OffGridSystemTotalInitialCost,AGGREGATE,0,dollars,
,OffGridSystemTotalDiscountedRecurringCost,AGGREGATE,0,dollars,
,MiniGridSystemTotal,AGGREGATE,0,count,
,MiniGridSystemTotalDiscountedEnergyStorageCost,AGGREGATE,0,dollars,
,MiniGridSystemTotalDiscountedGenerationCost,AGGREGATE,0,dollars,
,MiniGridSystemTotalDiscountedCost,AGGREGATE,0,dollars,
,MiniGridSystemTotalDiscountedDemand,AGGREGATE,0,kilowatt-hours,
,MiniGridSystemTotalInitialCost,AGGREGATE,0,dollars,
,MiniGridSystemTotalDiscountedRecurringCost,AGGREGATE,0,dollars,
,MiniGridSystemTotalLevelizedCost,OTHER,,dollars per kilowatt-hour,MiniGridSystemTotalDiscountedCost;MiniGridSystemTotalDiscountedDemand
,GridSystemTotal,AGGREGATE,0,count,
,GridSystemTotalDiscountedDemand,AGGREGATE,0,kilowatt-hours,
,GridSystemTotalExternalInitialCost,AGGREGATE,0,dollars,
,GridSystemTotalExternalDiscountedRecurringCost,AGGREGATE,0,dollars,
,GridSystemTotalDiscountedCost,AGGREGATE,0,dollars,
,GridSystemTotalLevelizedCost,OTHER,,dollars per kilowatt-hour,GridSystemTotalDiscountedCost;GridSystemTotalDiscountedDemand
,GridSystemTotalInternalInitialCost,AGGREGATE,0,dollars,
,GridSystemTotalInternalDiscountedRecurringCost,AGGREGATE,0,dollars,finance.DiscountedCashFlowFactor
,GridSystemTotalInitialCost,SINGLE_STMT_SIMPLE,,dollars,GridSystemTotalExternalInitialCost;GridSystemTotalInternalInitialCost
,GridSystemTotalDiscountedRecurringCost,OTHER,,dollars,GridSystemTotalExternalDiscountedRecurringCost;GridSystemTotalInternalDiscountedRecurringCost
,GridSystemTotalExistingNetworkLength,SINGLE_STMT_OTHER,,meters,
,GridSystemTotalProposedNetworkLength,SINGLE_STMT_OTHER,,meters,
